date/heure;NO;NO2;PM10;CO2;TEMP;HUMI
2013-01-01T02:00:00+01:00;23;41;26;612;15.1;65.6
2013-01-01T03:00:00+01:00;43;61;18;536;14.9;65.0
2013-01-01T04:00:00+01:00;22;52;45;490;14.9;63.3
2013-01-01T05:00:00+01:00;27;56;22;481;14.9;63.7
2013-01-01T06:00:00+01:00;27;57;15;464;15.0;63.3
2013-01-01T07:00:00+01:00;20;50;17;455;15.1;63.2
2013-01-01T08:00:00+01:00;24;51;17;442;14.9;63.7
2013-01-01T09:00:00+01:00;10;37;20;426;14.8;64.1
2013-01-01T10:00:00+01:00;11;40;13;427;14.5;64.0
2013-01-01T11:00:00+01:00;11;42;7;431;14.4;61.7
2013-01-01T12:00:00+01:00;18;52;8;437;14.6;58.2
2013-01-01T13:00:00+01:00;19;58;7;448;14.4;54.1
2013-01-01T14:00:00+01:00;15;55;;452;14.4;50.4
2013-01-01T15:00:00+01:00;33;73;18;473;14.6;48.9
2013-01-01T16:00:00+01:00;29;72;26;488;14.6;48.7
2013-01-01T17:00:00+01:00;35;77;27;512;14.5;48.4
2013-01-01T18:00:00+01:00;75;94;46;553;14.5;51.6
2013-01-01T19:00:00+01:00;65;94;41;545;14.5;54.2
2013-01-01T20:00:00+01:00;72;95;17;526;14.2;53.9
2013-01-01T21:00:00+01:00;34;75;21;495;14.1;52.5
2013-01-01T22:00:00+01:00;37;71;22;481;13.9;51.9
2013-01-01T23:00:00+01:00;24;66;22;469;13.6;51.8
2013-01-02T00:00:00+01:00;22;66;27;473;13.5;51.7
2013-01-02T01:00:00+01:00;;;40;474;19.2;48.7
2013-01-02T02:00:00+01:00;;;27;443;19.6;47.3
2013-01-02T03:00:00+01:00;;;21;439;19.8;46.1
2013-01-02T04:00:00+01:00;;;18;434;19.5;47.1
2013-01-02T05:00:00+01:00;;;17;435;19.5;47.9
2013-01-02T06:00:00+01:00;;;12;448;19.1;49.4
2013-01-02T07:00:00+01:00;;;17;450;18.2;54.1
2013-01-02T08:00:00+01:00;;;23;471;17.5;55.8
2013-01-02T09:00:00+01:00;;;18;513;17.2;56.2
2013-01-02T10:00:00+01:00;;;24;524;17.3;55.9
2013-01-02T11:00:00+01:00;;;16;492;17.2;55.9
2013-01-02T12:00:00+01:00;;;27;497;18.0;51.8
2013-01-02T13:00:00+01:00;;;39;538;18.2;53.3
2013-01-02T14:00:00+01:00;;;42;543;18.2;58.1
2013-01-02T15:00:00+01:00;;;47;587;18.2;58.7
2013-01-02T16:00:00+01:00;;;26;555;17.1;62.3
2013-01-02T17:00:00+01:00;;;15;527;18.0;57.1
2013-01-02T18:00:00+01:00;;;24;543;17.9;57.6
2013-01-02T19:00:00+01:00;;;;555;18.0;53.4
2013-01-02T20:00:00+01:00;;;8;535;17.9;48.7
2013-01-02T21:00:00+01:00;;;;497;17.8;44.3
2013-01-02T22:00:00+01:00;;;9;479;17.6;42.8
2013-01-02T23:00:00+01:00;;;20;477;17.5;42.3
2013-01-03T00:00:00+01:00;;;23;478;17.4;42.8
2013-01-03T01:00:00+01:00;30;45;41;475;13.4;52.7
2013-01-03T02:00:00+01:00;24;44;48;437;13.6;52.1
2013-01-03T03:00:00+01:00;19;41;72;436;13.6;52.7
2013-01-03T04:00:00+01:00;17;39;83;437;13.6;53.1
2013-01-03T05:00:00+01:00;22;40;38;440;13.5;53.5
2013-01-03T06:00:00+01:00;26;40;29;455;13.2;53.5
2013-01-03T07:00:00+01:00;40;44;32;453;12.4;54.9
2013-01-03T08:00:00+01:00;102;61;38;473;12.1;54.3
2013-01-03T09:00:00+01:00;106;64;54;513;12.0;54.7
2013-01-03T10:00:00+01:00;103;63;66;550;12.3;54.8
2013-01-03T11:00:00+01:00;87;61;64;501;12.7;53.1
2013-01-03T12:00:00+01:00;81;60;57;505;13.1;52.8
2013-01-03T13:00:00+01:00;;;71;539;13.2;51.9
2013-01-03T14:00:00+01:00;57;57;53;521;13.1;50.8
2013-01-03T15:00:00+01:00;59;59;50;535;13.0;51.4
2013-01-03T16:00:00+01:00;55;59;51;531;12.8;50.4
2013-01-03T17:00:00+01:00;37;60;44;532;12.4;51.2
2013-01-03T18:00:00+01:00;43;67;54;552;12.5;50.1
2013-01-03T19:00:00+01:00;51;72;56;568;12.7;50.8
2013-01-03T20:00:00+01:00;35;68;51;534;13.0;51.3
2013-01-03T21:00:00+01:00;23;61;40;503;13.5;52.1
2013-01-03T22:00:00+01:00;12;51;30;480;13.6;52.0
2013-01-03T23:00:00+01:00;14;53;27;475;13.6;52.1
2013-01-04T00:00:00+01:00;16;54;28;473;13.7;51.6
2013-01-04T01:00:00+01:00;;;43;444;15.3;26.0
2013-01-04T02:00:00+01:00;;;41;438;15.2;26.4
2013-01-04T03:00:00+01:00;;;44;436;15.4;25.8
2013-01-04T04:00:00+01:00;;;;437;15.2;25.8
2013-01-04T05:00:00+01:00;;;32;449;14.8;27.0
2013-01-04T06:00:00+01:00;;;58;455;14.7;27.8
2013-01-04T07:00:00+01:00;;;67;453;14.9;27.2
2013-01-04T08:00:00+01:00;;;43;451;14.8;27.2
2013-01-04T09:00:00+01:00;;;41;461;14.8;26.8
2013-01-04T10:00:00+01:00;;;44;461;15.0;25.7
2013-01-04T11:00:00+01:00;;;50;466;15.1;25.3
2013-01-04T12:00:00+01:00;;;44;474;15.5;24.1
2013-01-04T13:00:00+01:00;;;44;479;15.9;23.4
2013-01-04T14:00:00+01:00;;;56;501;16.2;23.7
2013-01-04T15:00:00+01:00;;;73;530;16.8;24.4
2013-01-04T16:00:00+01:00;;;61;537;17.2;24.8
2013-01-04T17:00:00+01:00;;;52;549;17.5;24.4
2013-01-04T18:00:00+01:00;;;58;553;17.6;24.1
